S0 4 C0 C1 C2 C3
E N1,1 N2,1 3.465824
E N3,7 N3,8 1.968008
E N0,6 N1,6 3.549719
E N2,3 N3,3 4.275694
E N1,5 N2,5 5.266280
E N0,4 N0,5 7.467672
E N3,2 N3,3 9.752100
E N1,3 N1,4 0.098691
E N2,4 N3,4 9.780228
E N3,6 N3,7 8.967791
E N1,8 N2,8 9.145810
E N3,0 N3,1 0.415381
E N1,6 N2,6 9.509493
E N1,7 N2,7 9.696585
S1 4
E S2 N0,2 6.020175
E N0,1 N1,1 4.721592
C5 1 0.124236
E N3,1 N3,2 7.410431
E N1,5 N1,6 8.548796
E N0,0 N0,1 8.725740
E N1,2 N1,3 0.019974
E N2,5 N3,5 0.851793
E N2,5 N2,6 2.862219
E N0,7 N0,8 9.770921
S6 4
E N0,3 N1,3 8.495486
E N0,5 N1,5 5.098397
E N1,3 N2,3 0.909889
E S4 N0,4 0.891183
E N2,6 N3,6 4.738072
E N0,7 N1,7 9.706759
E S5 N0,5 3.774296
E N2,3 N2,4 2.665380
E N2,1 N2,2 2.271620
C0 1 3.354361
E N1,4 N1,5 6.935460
C2 1 2.815593
E N3,8 N3,9 1.087536
E N0,2 N1,2 8.493672
E N3,4 N3,5 5.927735
E N1,9 N2,9 6.979717
E N3,9 EXIT 1
S4 4
E N3,3 N3,4 1.752913
E N3,5 N3,6 7.001541
E N2,6 N2,7 0.501837
E N1,7 N1,8 5.446584
E N0,3 N0,4 5.169662
E N0,9 N1,9 5.390954
E S3 N0,3 1.564081
E N1,0 N2,0 7.149086
C3 1 0.037843
E N0,2 N0,3 6.190848
E N2,2 N3,2 5.467506
E N2,0 N2,1 6.986336
E N2,2 N2,3 0.540347
E N2,7 N3,7 5.353066
E N1,8 N1,9 0.910134
C4 1 1.653114
E N0,8 N0,9 0.984742
S2 4
E S1 N0,1 8.409472
E N2,8 N2,9 6.986687
E S6 N0,6 0.786440
E N0,5 N0,6 8.079312
E N2,9 N3,9 1.830744
S3 4
E N2,1 N3,1 2.714990
E N1,4 N2,4 8.559155
E N1,2 N2,2 8.861414
S7 4
E N0,4 N1,4 5.962922
S9 4
E N2,0 N3,0 7.506403
S8 4
E N2,7 N2,8 7.653215
E N0,6 N0,7 8.702598
C6 1 1.504342
C1 1 3.601225
E S8 N0,8 1.788521
E N0,0 N1,0 9.827848
E S9 N0,9 2.196723
E N0,8 N1,8 6.434925
S5 4
E N1,0 N1,1 6.172890
E N1,1 N1,2 9.650342
E N2,4 N2,5 3.195917
E S0 N0,0 8.474290
E N0,1 N0,2 1.076145
E N2,8 N3,8 8.731678
E S7 N0,7 0.315386
E N1,6 N1,7 9.015844

