S4 4 C0 C1 C2 C3
S7 4
S3 4
S8 4
C5 1 1.027123
S1 4
E S0 N0,0 9.216919
E N0,9 EXIT 1
E N0,1 N0,2 9.099397
C2 1 0.882358
E N0,2 N0,3 6.463321
E S7 N0,7 2.056692
C3 1 4.305823
E N0,3 N0,4 4.495483
E N0,5 N0,6 8.814361
E N0,6 N0,7 7.712382
E S1 N0,1 7.209430
E N0,8 N0,9 4.382804
S0 4
E N0,7 N0,8 6.398583
E N0,0 N0,1 4.008163
E S8 N0,8 3.937322
E S3 N0,3 3.697978
E N0,4 N0,5 9.021166
S2 4
E S5 N0,5 6.378643
E S9 N0,9 3.147667
S5 4
E S6 N0,6 3.793874
E S2 N0,2 1.270082
E S4 N0,4 2.281043
C1 1 1.092580
S6 4
C0 1 1.569190
C6 1 4.667947
C4 1 1.988341
S9 4

